carid,price
613.0,8.36
614.0,6.4
615.0,21.765
616.0,20.5
617.0,13.8
618.0,20.7
619.0,19.5
621.0,22.68
622.0,5.8
624.0,11.42
625.0,0.8
627.0,4.9
629.0,12.3
636.0,2.3
639.0,14.3
640.0,4.1
642.0,5.92
644.0,5.56
647.0,3.3
651.0,5.84
652.0,3.5
653.0,4.6619
655.0,3.2
659.0,16.2
660.0,8.0
662.0,4.55
663.0,8.0
664.0,5.14
665.0,9.7
666.0,16.4999
670.0,4.65
672.0,5.7
673.0,3.22
676.0,5.44
679.0,7.8
684.0,7.0
685.0,2.34
688.0,21.2
689.0,3.55
693.0,2.6
696.0,5.0
697.0,7.0
702.0,3.78
703.0,0.6
704.0,19.5
706.0,16.5
711.0,7.18
713.0,3.68
714.0,6.16
715.0,8.17
717.0,2.69
719.0,1.94
720.0,15.6
721.0,24.9
723.0,9.65
727.0,8.3
731.0,7.5
732.0,1.25
735.0,3.0
736.0,3.89
738.0,5.3
739.0,2.2
743.0,12.1
744.0,13.5
746.0,6.05
752.0,25.45
753.0,16.3
756.0,127.24
757.0,1.88
758.0,26.8
759.0,6.25
760.0,16.87
761.0,1.39
762.0,0.9
763.0,1.6
765.0,9.9
766.0,9.8
770.0,12.13
771.0,11.9
772.0,1.59
773.0,15.2
774.0,19.0
775.0,8.1
776.0,16.38
777.0,10.35
780.0,4.98
781.0,17.1
784.0,13.88
785.0,11.0
788.0,0.45
789.0,5.75
791.0,4.49
793.0,2.0
795.0,9.44
798.0,8.5
799.0,4.34
802.0,3.52
803.0,23.0
805.0,10.8
808.0,2.79
811.0,8.5
813.0,3.8
814.0,2.68
816.0,5.98
817.0,9.2
821.0,5.4
822.0,25.0
825.0,16.8
827.0,3.18
833.0,8.9
834.0,10.6
835.0,12.2
836.0,4.94
838.0,35.8
843.0,8.2
844.0,11.4
845.0,8.55
849.0,13.99
850.0,13.1
852.0,23.0
856.0,2.5
860.0,5.7
865.0,15.3734
866.0,11.42
868.0,4.41
872.0,6.8
875.0,8.2
878.0,5.98
880.0,1.0
884.0,6.53
891.0,6.0
893.0,15.0
897.0,4.8
900.0,22.6
902.0,5.58
903.0,0.7
904.0,4.82
905.0,7.36
906.0,33.0
907.0,3.7
910.0,1.3
916.0,5.45
917.0,16.65
920.0,7.44
921.0,7.75
924.0,3.2
925.0,5.75
927.0,2.6
929.0,10.8
930.0,11.4
937.0,15.3
939.0,16.3
942.0,35.5
943.0,4.1
944.0,5.45
948.0,43.2
949.0,3.38
950.0,2.14
953.0,5.8
954.0,16.6
955.0,14.5
956.0,15.0
957.0,7.7
962.0,10.2
964.0,4.0
966.0,17.6
969.0,2.95
970.0,13.8
975.0,20.0
976.0,59.2
977.0,8.05
983.0,5.3
984.0,4.2
988.0,16.5
990.0,4.15
993.0,2.7
996.0,5.14
997.0,3.52
998.0,4.58
1003.0,3.3
1006.0,5.5
1007.0,3.5
1011.0,5.7
1012.0,4.35
1015.0,1.4
1019.0,8.7
1023.0,10.4
1025.0,1.45
1026.0,10.2999
1027.0,21.7
1028.0,2.3
1029.0,26.7
1032.0,9.9
1033.0,5.37
1035.0,15.5
1036.0,1.0
1039.0,19.0
1040.0,4.5
1041.0,0.9
1043.0,2.94
1045.0,7.44
1046.0,11.75
1050.0,3.35
1055.0,1.6
1056.0,7.14
1058.0,1.1
1059.0,2.66
1061.0,9.18
1063.0,7.738
1068.0,2.84
1069.0,11.0
1071.0,16.9
1074.0,10.8
1079.0,8.6
1080.0,5.25
1081.0,8.2
1082.0,6.95
1085.0,1.38
1087.0,1.24
1090.0,3.63
1095.0,9.24
1098.0,38.44
1100.0,6.22
1105.0,4.0
1107.0,7.54
1110.0,17.5
1115.0,5.115
1118.0,4.8
1121.0,1.34
1123.0,16.48
1125.0,5.8
1127.0,15.3
1128.0,8.5
1130.0,12.5
1132.0,11.8
1133.0,4.3
1134.0,10.48
1135.0,4.04
1136.0,20.5
1137.0,10.8
1138.0,2.81
1139.0,9.88
1140.0,3.6
1142.0,7.0
1143.0,8.0
1148.0,10.32
1151.0,8.6
1153.0,15.05
1155.0,7.35
1161.0,20.5
1163.0,12.4
1168.0,3.0
1169.0,12.3
1172.0,4.75
1176.0,6.4
1181.0,5.84
1183.0,22.3
1185.0,3.03
1191.0,32.8
1192.0,5.58
1194.0,1.5
1195.0,13.98
1197.0,2.2
1201.0,6.0
1202.0,5.2
1204.0,6.9
1206.0,8.52
1210.0,3.88
1213.0,5.16
1218.0,3.6
1222.0,13.2
1224.0,8.0
1225.0,20.6
1228.0,2.71
1230.0,19.0255
1233.0,5.5
1234.0,42.7
1235.0,14.0
1236.0,1.45
1239.0,4.4
1241.0,5.4
1243.0,3.3
1249.0,8.28
1252.0,3.64
1254.0,19.85
1259.0,7.6
1261.0,3.5
1263.0,4.63
1269.0,9.04
1270.0,1.29
1274.0,23.7
1275.0,16.5
1277.0,4.14
1278.0,1.24
1279.0,2.7
1280.0,4.53
1281.0,6.8
1282.0,8.4
1284.0,25.5
1286.0,2.94
1290.0,17.6
1292.0,22.0
1293.0,28.5
1294.0,1.5
1298.0,2.78
1299.0,11.1
1300.0,13.6
1301.0,6.6
1303.0,0.56
1306.0,1.35
1314.0,12.15
1315.0,9.2
1317.0,16.4
1318.0,7.93
1319.0,3.8
1322.0,8.0
1326.0,3.0
1329.0,2.95
1331.0,3.0
1332.0,5.9999
1334.0,4.95
1335.0,0.19
1337.0,6.38
1338.0,26.4
1339.0,5.52
1340.0,6.0
1341.0,6.7
1343.0,1.39
1344.0,6.04
1345.0,14.14
1347.0,3.6
1348.0,4.1
1350.0,8.3
1351.0,7.6
1356.0,7.5
1357.0,17.3
1358.0,5.29
1360.0,8.34
1361.0,9.5
1363.0,8.4
1365.0,5.8
1366.0,2.94
1368.0,7.17
1371.0,2.9
1372.0,2.85
1374.0,5.5
1375.0,74.0
1378.0,1.74
1379.0,6.3
1381.0,18.4
1383.0,8.08
1386.0,9.98
1387.0,1.1
1388.0,3.22
1390.0,0.69
1392.0,12.98
1397.0,7.78
1398.0,0.3
1399.0,15.5
1400.0,3.3
1403.0,10.5
1404.0,2.09
1406.0,4.5
1408.0,5.34
1409.0,3.6
1413.0,6.45
1419.0,8.88
1420.0,6.4999
1422.0,5.2
1423.0,1.3
1424.0,17.1
1426.0,6.2
1431.0,7.0
1438.0,2.44
1441.0,2.8
1443.0,3.1
1444.0,1.24
1447.0,6.4
1448.0,13.7
1449.0,15.0
1450.0,1.0
1452.0,3.5
1453.0,5.0
1455.0,3.35
1456.0,8.9
1460.0,18.7
1461.0,25.6
1463.0,1.04
1464.0,6.5
1469.0,3.2
1472.0,5.45
1473.0,5.89
1476.0,9.0
1477.0,8.75
1479.0,5.4
1480.0,7.1
1484.0,13.3
1485.0,9.9499
1487.0,9.99
1489.0,11.6
1493.0,12.25
1494.0,6.8
1496.0,8.79
1499.0,2.4
1502.0,7.2
1505.0,0.74
1506.0,0.3
1508.0,8.7
1511.0,8.98
1512.0,14.2
1513.0,8.0
1517.0,3.45
1519.0,4.0
1521.0,5.92
1522.0,3.78
1524.0,0.7
1526.0,7.3
1527.0,6.8
1530.0,8.1
1532.0,12.7
1533.0,5.98
1534.0,7.0
1538.0,11.3
1539.0,7.0
1545.0,13.12
1548.0,2.34
1551.0,17.55
1552.0,1.865
1553.0,8.7
1554.0,12.28
1556.0,12.0
1558.0,3.28
1561.0,10.8
1565.0,3.2
1567.0,18.4
1569.0,6.11
1570.0,23.0
1572.0,3.15
1573.0,5.15
1574.0,3.14
1575.0,3.09
1576.0,2.38
1578.0,1.5
1581.0,5.3
1583.0,2.64
1584.0,5.5
1587.0,15.88
1590.0,6.9
1591.0,23.88
1592.0,7.7
1595.0,6.8
1596.0,6.8
1598.0,4.18
1599.0,3.93
1604.0,18.5
1606.0,3.0
1610.0,0.7999
1618.0,5.8
1634.0,5.8
1635.0,31.1
1638.0,2.6
1641.0,9.4
1644.0,8.72
1658.0,13.0
1666.0,21.5
1678.0,1.58
1679.0,1.68
1682.0,4.48
1686.0,4.0
1691.0,1.3
1692.0,0.95
1693.0,0.68
1710.0,2.68
1735.0,4.6
1738.0,4.68
1753.0,3.8
1759.0,4.8
1789.0,20.8
1797.0,15.8
1798.0,13.7
1799.0,13.7
1802.0,12.9799
1803.0,13.98
1808.0,15.8
1809.0,17.0
1810.0,16.5
1811.0,14.98
1813.0,15.0
1814.0,13.78
1818.0,13.5
1819.0,16.98
1825.0,6.3
1834.0,4.0
1836.0,5.5
1837.0,4.28
1838.0,4.8
1840.0,5.0
1869.0,1.95
1882.0,5.98
1885.0,15.5
1886.0,13.88
1900.0,25.8
1901.0,22.98
1902.0,24.68
1906.0,8.48
1910.0,6.28
1911.0,5.5
1925.0,13.0
1927.0,12.2
1931.0,10.5
1937.0,3.65
1944.0,2.8
1948.0,3.3
1951.0,0.68
1953.0,3.86
1955.0,9.18
1959.0,8.48
1974.0,3.88
1981.0,8.48
2002.0,9.8
2009.0,12.5
2023.0,10.8
2027.0,1.98
2040.0,13.6
2043.0,3.0
2046.0,6.98
2056.0,11.28
2069.0,14.88
2071.0,72.8
2074.0,0.9
2075.0,0.98
2089.0,31.5
2094.0,6.18
2118.0,6.6
2127.0,6.58
2145.0,6.3
2175.0,6.98
2188.0,7.98
2198.0,3.88
2200.0,8.38
2201.0,8.5
2210.0,1.3
2224.0,0.95
2225.0,6.5
2231.0,4.78
2236.0,4.88
2237.0,4.58
2244.0,4.78
2254.0,4.8
2260.0,11.6
2265.0,10.8
2272.0,7.88
2273.0,7.3
2275.0,7.96
2283.0,9.98
2286.0,9.98
2302.0,5.2
2308.0,10.68
2318.0,28.0
2326.0,1.28
2345.0,16.5
2352.0,18.8
2363.0,41.9
2381.0,8.8
2387.0,10.3
2388.0,10.8
2389.0,7.78
2393.0,10.5
2394.0,6.5
2395.0,9.7
2396.0,10.3
2397.0,9.45
2401.0,7.38
2414.0,3.2
2416.0,3.4
2418.0,3.25
2425.0,10.36
2428.0,12.3
2433.0,56.0
2448.0,9.98
2492.0,6.68
2496.0,9.6
2497.0,6.2
2498.0,1.5
2505.0,9.0
2509.0,8.5
2536.0,12.9
2544.0,2.55
2545.0,7.28
2566.0,8.2
2569.0,57.58
2575.0,7.3
2586.0,8.9
2600.0,12.58
2601.0,14.2
2604.0,3.2
2606.0,7.8
2615.0,1.08
2618.0,39.0
2622.0,3.2
2626.0,18.0
2646.0,34.8
2649.0,10.66
2652.0,10.88
2655.0,9.5
2668.0,12.5
2671.0,4.8
2689.0,12.2
2694.0,8.18
2705.0,3.1
2716.0,10.98
2724.0,11.88
2740.0,22.68
2746.0,18.8
2758.0,18.6
2760.0,3.3
2790.0,1.28
2792.0,1.58
2793.0,2.0
2801.0,11.98
2804.0,12.0
2811.0,75.8
2818.0,4.0
2830.0,15.38
2833.0,13.5
2834.0,13.8
2835.0,13.0
2836.0,13.0
2837.0,13.0
2838.0,14.18
2842.0,5.9
2843.0,5.3
2845.0,6.38
2846.0,6.88
2851.0,7.28
2854.0,7.3
2856.0,7.5
2857.0,12.58
2894.0,12.6
2904.0,8.58
2905.0,8.9
2909.0,10.68
2917.0,26.0
2923.0,20.8799
2931.0,12.5
2935.0,14.2
2953.0,3.58
2966.0,7.85
2970.0,7.8
2982.0,37.6
2989.0,33.8
2994.0,6.39
2998.0,8.3
3002.0,6.55
3003.0,6.18
3011.0,6.8
3012.0,7.78
3013.0,6.5
3019.0,8.5
3029.0,7.6
3036.0,7.48
3042.0,7.6
3044.0,6.18
3046.0,7.6
3062.0,18.5
3066.0,25.95
3074.0,7.58
3089.0,11.68
3090.0,12.9
3096.0,21.8
3098.0,20.4
3146.0,10.5
3151.0,53.5
3185.0,4.9
3189.0,5.9
3192.0,13.14
3209.0,13.5
3220.0,30.98
3264.0,5.15
3275.0,4.78
3317.0,2.0
3318.0,3.5
3320.0,2.2
3327.0,4.0
3331.0,7.0
3332.0,8.6
3346.0,7.98
3347.0,8.4799
3369.0,9.88
3379.0,5.9
3386.0,3.48
3396.0,17.3
3416.0,4.9
3421.0,3.98
3433.0,17.88
3436.0,6.38
3443.0,3.88
3460.0,11.6
3461.0,11.8
3476.0,11.88
3480.0,6.0
3481.0,7.28
3486.0,25.5
3496.0,7.5
3501.0,6.9
3512.0,5.8
3520.0,25.28
3524.0,4.98
3528.0,6.28
3544.0,9.6
3569.0,13.3
3590.0,8.45
3591.0,30.0
3593.0,26.72
3598.0,33.3
3601.0,35.5
3607.0,5.68
3609.0,6.5
3614.0,29.8
3623.0,28.0
3635.0,2.6
3648.0,6.5
3666.0,34.5
3667.0,35.8
3681.0,13.0
3682.0,2.2
3689.0,8.68
3692.0,8.0
3693.0,7.48
3697.0,8.9799
3712.0,7.58
3723.0,9.3
3744.0,8.8
3753.0,7.98
3754.0,7.8
3755.0,5.68
3760.0,10.5
3770.0,12.1
3779.0,5.98
3782.0,16.38
3786.0,11.8
3787.0,12.85
3790.0,13.3
3809.0,5.68
3810.0,5.28
3818.0,3.5
3824.0,17.48
3828.0,16.8
3834.0,14.9
3840.0,15.88
3845.0,16.5
3847.0,17.5
3862.0,5.0
3871.0,8.8
3873.0,9.98
3874.0,10.86
3880.0,10.8
3917.0,23.0
3942.0,23.98
3971.0,13.32
3972.0,14.78
3978.0,14.98
3980.0,13.88
3983.0,13.98
3984.0,13.28
3996.0,36.8
4006.0,2.75
4014.0,4.98
4016.0,8.0
4024.0,35.9799
4030.0,32.88
4031.0,18.8799
4033.0,23.8
4035.0,24.9
4041.0,41.95
4045.0,7.0
4046.0,6.98
4049.0,3.3
4052.0,4.6
4053.0,3.98
4066.0,1.7
4068.0,2.9
4070.0,2.0
4071.0,2.6
4074.0,2.38
4077.0,7.08
4084.0,17.8
4094.0,4.58
4096.0,3.88
4102.0,12.5
4106.0,3.25
4108.0,3.88
4109.0,3.56
4114.0,49.8
4130.0,1.2
4131.0,6.88
4168.0,33.9
4185.0,44.5
4188.0,38.8
4196.0,28.58
4198.0,29.98
4200.0,17.99
4214.0,5.28
4224.0,21.8
4229.0,2.9
4234.0,2.38
4259.0,1.48
4264.0,0.99
4265.0,0.99
4271.0,1.0
4284.0,8.2
4305.0,28.0
4308.0,8.68
4318.0,7.5
4321.0,6.8
4332.0,3.3
4343.0,4.6
4347.0,5.8
4349.0,5.88
4368.0,8.38
4369.0,9.28
4372.0,7.78
4375.0,8.18
4380.0,8.2
4385.0,18.98
4394.0,1.68
4399.0,7.1
4402.0,8.5
4414.0,13.9
4430.0,5.98
4452.0,2.98
4455.0,0.4
4464.0,13.68
4465.0,13.68
4486.0,1.98
4487.0,1.0
4503.0,12.5
4504.0,11.0
4505.0,12.99
4506.0,11.3
4507.0,12.88
4517.0,36.5
4525.0,38.0
4529.0,33.5
4535.0,1.88
4541.0,2.5
4552.0,1.6
4559.0,76.0
4569.0,68.8
4570.0,2.85
4571.0,2.48
4574.0,2.4
4595.0,1.96
4598.0,6.9
4599.0,1.7
4601.0,17.58
4602.0,18.2
4611.0,22.0
4655.0,52.6
4658.0,2.95
4659.0,9.6
4675.0,5.65
4676.0,7.28
4685.0,24.98
4693.0,18.5
4694.0,19.18
4731.0,15.98
4732.0,18.28
4738.0,18.3
4754.0,13.8
4765.0,14.0
4787.0,29.5
4788.0,7.0
4793.0,9.58
4795.0,38.58
4802.0,22.8
4808.0,9.7
4810.0,16.6
4816.0,119.0
4819.0,24.98
4820.0,14.98
4837.0,5.2
4845.0,35.0
4863.0,4.42
4890.0,14.58
4893.0,12.8
4894.0,12.55
4899.0,4.5
4916.0,29.88
4917.0,7.18
4919.0,7.78
4921.0,2.0
4923.0,23.9
4933.0,34.2
4937.0,15.58
4967.0,5.08
4982.0,0.8
4983.0,49.9
4987.0,3.68
4990.0,2.68
4993.0,1.4
5002.0,13.0
5008.0,7.48
5009.0,8.18
5027.0,6.68
5033.0,7.68
5037.0,3.3
5041.0,13.8
5044.0,12.99
5045.0,13.9
5046.0,11.8
5047.0,13.9
5049.0,6.58
5068.0,3.6
5071.0,22.0
5074.0,9.18
5081.0,3.7
5100.0,4.68
5101.0,3.38
5108.0,13.6
5111.0,19.6
5112.0,16.4
5114.0,31.98
5128.0,23.58
5141.0,8.88
5146.0,14.38
5147.0,14.98
5149.0,13.98
5150.0,12.68
5151.0,16.28
5152.0,14.98
5158.0,16.28
5165.0,12.8
5168.0,4.28
5169.0,3.3
5181.0,12.5
5182.0,12.68
5192.0,12.5
5194.0,12.5
5195.0,10.8
5200.0,12.8
5202.0,12.5
5209.0,12.1199
5212.0,11.6
5215.0,1.88
5220.0,17.8
5221.0,58.5
5238.0,10.98
5262.0,3.28
5264.0,5.68
5265.0,23.38
5270.0,24.9
5278.0,21.98
5280.0,23.5
5297.0,9.8
5298.0,11.1
5308.0,9.4799
5310.0,11.9
5312.0,32.46
5317.0,29.8
5336.0,31.88
5341.0,30.28
5384.0,14.45
5412.0,4.38
5416.0,4.2
5417.0,4.9
5436.0,37.5
5437.0,0.45
5441.0,2.68
5443.0,5.88
5446.0,6.18
5476.0,15.8
5477.0,13.68
5490.0,3.98
5492.0,2.5
5503.0,2.0
5505.0,2.1
5506.0,2.38
5517.0,4.3
5521.0,4.48
5527.0,2.88
5536.0,8.98
5545.0,8.99
5546.0,8.99
5559.0,9.8
5567.0,30.68
5570.0,26.0
5577.0,4.5
5585.0,29.76
5588.0,38.98
5594.0,2.95
5601.0,24.5
5603.0,18.5
5613.0,47.9
5618.0,9.8
5626.0,9.58
5627.0,9.8
5647.0,5.5
5649.0,5.8
5650.0,5.68
5654.0,7.68
5660.0,8.7
5667.0,11.8
5673.0,10.8
5676.0,14.8
5679.0,16.5
5684.0,1.68
5704.0,5.9
5705.0,5.8
5706.0,5.88
5707.0,5.8
5722.0,6.8
5727.0,1.3
5738.0,34.8
5773.0,4.28
5775.0,4.7
5777.0,6.98
5782.0,21.9
5828.0,27.4
5830.0,4.18
5835.0,4.28
5844.0,8.62
5845.0,7.5
5852.0,2.0
5857.0,1.08
5860.0,15.8
5876.0,21.0
5878.0,15.46
5887.0,9.5
5889.0,8.98
5902.0,1.45
5905.0,18.68
5913.0,18.98
5919.0,9.8
5920.0,5.58
5921.0,5.8
5930.0,5.2
5933.0,4.88
5939.0,16.9
5943.0,14.7
5946.0,15.8
5953.0,18.23
5964.0,6.0
5966.0,8.88
5974.0,4.28
5977.0,6.68
5989.0,7.68
5991.0,6.98
6007.0,6.5
6010.0,7.8
6013.0,9.3
6029.0,15.0
6042.0,17.3
6050.0,15.3
6055.0,15.3
6074.0,15.8
6099.0,6.8
6102.0,6.7
6109.0,25.5
6119.0,24.2
6126.0,5.0
6130.0,9.68
6131.0,9.0
6156.0,1.0
6163.0,14.38
6200.0,14.8
6207.0,13.8
6208.0,15.38
6209.0,3.0
6210.0,2.65
6214.0,16.0
6220.0,7.68
6233.0,9.8
6237.0,22.98
6242.0,21.5
6243.0,14.68
6257.0,21.0
6263.0,65.0
6270.0,5.2
6273.0,4.5
6301.0,4.8
6316.0,22.3
6319.0,1.2
6322.0,6.38
6323.0,6.48
6337.0,9.98
6383.0,15.0
6394.0,13.8
6395.0,15.0
6429.0,7.1
6432.0,7.8
6434.0,7.98
6438.0,7.5
6440.0,9.08
6441.0,7.5
6444.0,7.8
6447.0,7.88
6453.0,7.5
6456.0,7.28
6458.0,7.35
6479.0,22.13
6485.0,19.8
6505.0,14.8
6507.0,155.7
6508.0,28.6
6514.0,15.8
6515.0,16.0
6519.0,5.6
6520.0,5.4
6539.0,3.68
6540.0,4.0
6550.0,9.8
6557.0,7.28
6558.0,3.8
6568.0,3.48
6569.0,4.68
6591.0,16.98
6607.0,11.99
6608.0,12.58
6610.0,11.88
6612.0,8.6
6617.0,1.63
6632.0,91.0
6639.0,7.6
6645.0,7.88
6647.0,7.5
6652.0,8.9
6671.0,6.8
6683.0,8.38
6684.0,7.8
6689.0,11.8
6698.0,35.8
6729.0,16.8799
6747.0,1.38
6748.0,2.78
6755.0,12.3
6757.0,2.48
6758.0,2.58
6764.0,3.47
6766.0,3.9
6780.0,10.5
6781.0,12.5
6789.0,11.5
6791.0,10.2
6793.0,9.0
6802.0,4.6
6807.0,10.5
6829.0,22.8
6830.0,33.6
6840.0,17.5
6844.0,19.22
6868.0,9.6
6894.0,3.58
6909.0,0.9
6910.0,2.5
6912.0,2.2
6915.0,3.0
6923.0,5.68
6927.0,0.6
6937.0,2.68
6939.0,0.68
6940.0,4.05
6947.0,3.58
6962.0,9.5
6965.0,2.0
6969.0,0.9
6970.0,1.98
6974.0,2.75
6984.0,17.5
6986.0,29.8
7009.0,14.5
7013.0,38.3
7026.0,14.8
7027.0,15.98
7047.0,1.99
7048.0,2.3
7052.0,1.58
7067.0,6.78
7081.0,7.5
7097.0,28.9
7100.0,29.3
7103.0,15.0
7109.0,12.68
7123.0,8.78
7129.0,8.7
7131.0,8.98
7139.0,29.2
7146.0,52.8
7155.0,3.2
7159.0,25.5
7160.0,26.8
7162.0,27.0
7163.0,13.5
7164.0,12.88
7174.0,1.68
7182.0,6.4
7183.0,5.68
7205.0,13.8
7213.0,42.8
7220.0,10.7
7226.0,4.95
7228.0,5.4
7229.0,4.8
7242.0,8.8
7243.0,6.38
7251.0,7.88
7262.0,1.8
7263.0,3.3
7287.0,12.95
7290.0,16.89
7292.0,13.0
7296.0,0.65
7297.0,0.6
7303.0,5.0
7304.0,5.1
7322.0,98.0
7323.0,98.88
7333.0,9.28
7344.0,10.5
7349.0,11.0
7351.0,5.3
7358.0,8.96
7359.0,8.6899
7364.0,8.58
7366.0,25.98
7368.0,27.8
7379.0,5.0
7381.0,4.8
7387.0,4.8
7406.0,23.0
7416.0,17.88
7419.0,6.48
7420.0,6.2
7421.0,6.9
7438.0,18.5
7439.0,18.5
7446.0,15.68
7459.0,17.5
7464.0,9.8
7467.0,9.6
7470.0,28.95
7473.0,8.18
7478.0,22.8
7482.0,10.0
7491.0,6.88
7505.0,7.88
7506.0,8.3
7511.0,6.55
7514.0,7.8
7517.0,7.95
7520.0,7.88
7526.0,7.8
7527.0,24.5
7543.0,17.3
7549.0,16.88
7552.0,4.18
7563.0,22.8
7565.0,21.58
7568.0,13.38
7573.0,12.98
7574.0,5.3
7579.0,24.8
7592.0,3.88
7594.0,12.58
7600.0,21.98
7603.0,21.98
7622.0,12.8
7637.0,29.9
7648.0,4.6
7649.0,10.88
7657.0,6.18
7659.0,9.98
7660.0,1.28
7665.0,10.68
7668.0,7.38
7671.0,6.8
7677.0,9.6
7679.0,4.78
7683.0,4.8
7685.0,4.82
7692.0,56.8
7696.0,1.5
7720.0,8.68
7722.0,7.8
7723.0,8.38
7735.0,13.2
7743.0,12.58
7757.0,17.6
7764.0,15.6
7765.0,15.8
7768.0,5.18
7798.0,10.8
7807.0,18.6
7809.0,37.0
7838.0,17.9
7841.0,18.9
7873.0,7.8
7878.0,6.0
7895.0,45.0
7902.0,44.5
7906.0,2.58
7908.0,4.48
7915.0,8.28
7924.0,22.8
7928.0,2.88
7943.0,24.5
7948.0,23.98
7949.0,26.58
7951.0,25.8
7952.0,25.8
7953.0,25.8
7958.0,24.0
7960.0,24.5
7962.0,22.8
7977.0,26.98
7986.0,25.15
7987.0,19.0
7988.0,19.5
7998.0,19.9
8004.0,20.0
8005.0,22.5
8011.0,19.8
8023.0,12.98
8033.0,16.8
